"participant","minutes","n_previous_marathons","age","gender","hills","weather"
576,404,8,55,"Female",10,"Cloudy"
480,384,8,32,"Female",7,"Cloudy"
173,230,10,22,"Female",11,"Cloudy"
470,327,9,50,"Female",10,"Sunny"
387,276,5,33,"Male",7,"Sunny"
58,385,9,35,"Female",11,"Light Rain"
4,250,10,24,"Male",11,"Cloudy"
15,403,4,31,"Female",12,"Sunny"
82,380,8,37,"Female",12,"Sunny"
75,331,7,40,"Other",15,"Cloudy"
49,322,5,25,"Male",-999,"Cloudy"
96,314,5,50,"Other",4,"Sunny"
510,373,6,33,"Female",13,"Sunny"
342,379,4,38,"Female",12,"Cloudy"
557,275,8,20,"Female",8,"Sunny"
461,216,13,40,"Male",-999,"Sunny"
553,323,7,45,"Female",7,"Sunny"
598,253,6,31,"Female",10,"Sunny"
558,437,7,31,"Female",11,"Cloudy"
242,288,8,30,"Female",17,"Sunny"
225,419,3,46,"Female",9,"Light Rain"
232,322,6,30,"Female",16,"Cloudy"
532,340,8,29,"Female",6,"Sunny"
330,303,11,56,"Male",11,"Sunny"
507,279,7,34,"Female",7,"Cloudy"
164,377,6,31,"Female",9,"Cloudy"
418,421,6,32,"Male",13,"Sunny"
327,103,17,37,"Male",11,"Sunny"
163,292,8,40,"Other",6,"Cloudy"
515,329,9,38,"Male",15,"Cloudy"
94,319,8,27,"Male",12,"Sunny"
79,309,6,35,"Male",-999,"Cloudy"
548,282,10,45,"Female",10,"Light Rain"
215,487,3,29,"Male",11,"Heavy Rain"
434,217,15,49,"Male",6,"Cloudy"
508,394,7,57,"Male",9,"Cloudy"
568,287,9,46,"Male",7,"Cloudy"
190,287,11,31,"Female",8,"Sunny"
84,338,9,24,"Female",10,"Sunny"
103,302,7,29,"Female",7,"Cloudy"
2,159,9,27,"Male",7,"Light Rain"
251,475,5,43,"Female",19,"Sunny"
423,309,7,41,"Male",10,"Cloudy"
402,220,4,20,"Male",10,"Sunny"
68,206,9,26,"Male",9,"Sunny"
394,266,9,27,"Male",12,"Sunny"
338,332,8,46,"Male",4,"Cloudy"
188,244,7,29,"Female",10,"Sunny"
138,319,9,46,"Male",6,"Sunny"
25,318,8,30,"Female",4,"Sunny"
204,334,7,43,"Female",11,"Cloudy"
401,161,13,28,"Male",13,"Cloudy"
539,300,7,36,"Male",8,"Cloudy"
165,293,6,24,"Female",9,"Cloudy"
130,296,8,21,"Male",9,"Cloudy"
372,282,6,32,"Female",7,"Sunny"
449,390,6,59,"Female",13,"Sunny"
233,338,7,21,"Female",7,"Sunny"
180,261,7,33,"Female",7,"Cloudy"
397,291,5,33,"Male",7,"Cloudy"
485,171,11,22,"Female",5,"Cloudy"
171,374,8,55,"Female",10,"Cloudy"
547,387,3,29,"Female",14,"Cloudy"
263,249,8,24,"Male",7,"Sunny"
20,308,12,44,"Female",17,"Light Rain"
419,371,7,39,"Female",14,"Sunny"
199,432,4,39,"Female",14,"Cloudy"
105,390,7,42,"Female",13,"Sunny"
207,194,6,26,"Female",4,"Sunny"
184,309,5,36,"Female",12,"Light Rain"
466,374,5,45,"Female",11,"Sunny"
353,246,7,41,"Male",10,"Cloudy"
452,350,6,34,"Male",5,"Sunny"
109,324,6,30,"Male",8,"Sunny"
517,364,7,33,"Female",12,"Sunny"
197,282,6,37,"Female",4,"Sunny"
315,382,6,46,"Female",9,"Cloudy"
590,267,7,39,"Male",7,"Cloudy"
580,358,7,34,"Other",7,"Cloudy"
268,310,6,41,"Female",8,"Cloudy"
3,376,6,26,"Female",8,"Cloudy"
476,456,6,54,"Male",13,"Cloudy"
305,327,8,43,"Male",11,"Sunny"
309,400,7,32,"Male",14,"Heavy Rain"
583,308,10,33,"Male",7,"Cloudy"
589,267,13,27,"Female",10,"Cloudy"
408,275,4,26,"Male",9,"Sunny"
8,291,10,37,"Female",10,"Cloudy"
151,336,10,49,"Female",8,"Light Rain"
89,257,10,31,"Female",6,"Sunny"
501,345,6,39,"Female",7,"Sunny"
21,287,10,37,"Male",17,"Sunny"
104,291,12,35,"Male",12,"Sunny"
313,377,8,52,"Female",13,"Sunny"
518,255,9,47,"Male",5,"Cloudy"
100,327,7,31,"Female",8,"Cloudy"
228,319,7,36,"Female",7,"Cloudy"
390,202,5,14,"Male",8,"Light Rain"
10,362,7,55,"Female",8,"Sunny"
41,388,4,41,"Female",11,"Sunny"
122,354,6,38,"Female",18,"Cloudy"
205,283,6,20,"Female",10,"Cloudy"
286,337,6,33,"Male",10,"Sunny"
193,280,13,48,"Male",12,"Sunny"
536,309,9,38,"Female",7,"Cloudy"
559,448,7,36,"Female",13,"Cloudy"
203,384,8,45,"Female",7,"Sunny"
316,223,9,9,"Female",8,"Sunny"
136,370,8,24,"Female",-999,"Cloudy"
192,347,6,49,"Female",9,"Sunny"
432,318,7,44,"Male",7,"Sunny"
290,329,8,22,"Female",5,"Sunny"
106,240,10,18,"Female",7,"Sunny"
586,468,4,40,"Female",11,"Sunny"
413,316,5,34,"Female",0,"Cloudy"
442,307,7,45,"Male",10,"Light Rain"
35,426,2,39,"Female",11,"Cloudy"
289,295,3,41,"Male",11,"Sunny"
93,321,6,44,"Female",6,"Sunny"
252,324,5,27,"Female",7,"Cloudy"
74,508,0,43,"Female",12,"Sunny"
317,238,10,30,"Male",7,"Sunny"
261,191,11,27,"Female",15,"Cloudy"
575,327,12,50,"Female",8,"Cloudy"
167,345,9,42,"Female",13,"Cloudy"
393,349,8,47,"Male",11,"Light Rain"
392,415,5,47,"Female",14,"Sunny"
156,284,6,8,"Female",9,"Light Rain"
587,332,5,25,"Female",10,"Sunny"
48,288,7,29,"Female",12,"Light Rain"
415,398,5,49,"Female",7,"Sunny"
235,443,5,54,"Other",5,"Cloudy"
412,276,10,33,"Male",8,"Cloudy"
376,152,12,15,"Female",3,"Sunny"
11,266,12,48,"Female",10,"Cloudy"
594,436,4,53,"Female",10,"Sunny"
198,250,8,37,"Male",12,"Sunny"
158,225,5,30,"Male",5,"Sunny"
269,335,2,32,"Male",9,"Sunny"
149,283,5,14,"Male",9,"Light Rain"
582,203,9,25,"Female",7,"Cloudy"
506,328,5,36,"Female",15,"Light Rain"
503,346,5,44,"Female",5,"Cloudy"
161,332,7,44,"Male",10,"Cloudy"
62,458,4,42,"Other",10,"Light Rain"
159,344,6,37,"Female",8,"Sunny"
1,364,5,28,"Female",11,"Cloudy"
272,391,1,20,"Male",14,"Cloudy"
319,335,6,23,"Male",11,"Sunny"
404,308,7,36,"Female",6,"Sunny"
